Sample_ID,Zeb_Count,Average_Length_mm,Macro_Count,Macro_per_Zeb,Macro_per_m,SA_Druse_mm,SA_Druse_m,Diptera,Amphipoda,Trichoptera,Ephemeroptera,Coleptera,Odonata,Plecoptera,Gastropoda,Platyhelminthes,Unionidae,Subseason_new,Subseason,Site_new,Site,Simpson,corr_diptera,corr_amphipoda,corr_trichoptera,corr_ephemeroptera,corr_coleptera,corr_odonata,corr_plecoptera,corr_gastropoda,corr_platyhelminthes,corr_unionidae,corr_simpson,corr_count,use_simp,zeb_presence
20,75,9.811111111,38,0.506666667,0,8770.58,0.00877058,7,1,6,19,4,0,0,1,0,0,May,1,Downstream Bemidji,2,0.697012802,883.2528942,126.1789849,757.0739093,2397.400713,504.7159396,0,0,126.1789849,0,0,0.678905303,4795.498439,0.678905303,1
21,0,0,5,0,10,0,0,5,0,0,0,0,0,0,0,0,0,May,1,Uninfested,1,0,630.8949245,0,0,0,0,0,0,0,0,0,1,630.8949245,0,0
22,166,15,17,0.102409639,0,21847.195,0.021847195,2,5,4,2,1,1,0,2,0,0,May,1,Downstream Andrusia,5,0.860294118,252.3579698,630.8949245,504.7159396,252.3579698,126.1789849,126.1789849,0,252.3579698,0,0,0.810218521,2145.903037,0.810218521,1
23,147,11.89444444,8,0.054421769,0,12532.98,0.01253298,5,1,1,0,0,0,0,1,0,0,May,1,Downstream Andrusia,5,0.642857143,630.8949245,126.1789849,126.1789849,0,0,0,0,126.1789849,0,0,0.563614075,1010.074736,0.563614075,1
24,25,7.633333333,7,0.28,0,8648.105,0.008648105,2,5,0,0,0,0,0,0,0,0,May,1,Downstream Andrusia,5,0.476190476,252.3579698,630.8949245,0,0,0,0,0,0,0,0,0.409263406,883.7290847,0.409263406,1
25,33,13.9,11,0.333333333,0,7337.24,0.00733724,0,3,3,2,3,0,0,0,0,0,May,1,Downstream Andrusia,5,0.818181818,0,378.5369547,378.5369547,252.3579698,378.5369547,0,0,0,0,0,0.74463919,1388.787016,0.74463919,1
26,315,12.25,45,0.142857143,0,33128.735,0.033128735,12,15,2,9,7,0,0,0,0,0,May,1,Downstream Andrusia,5,0.768686869,1514.147819,1892.684773,252.3579698,1135.610864,883.2528942,0,0,0,0,0,0.751804543,5678.823007,0.751804543,1
27,19,15.05,11,0.578947368,0,7357.46,0.00735746,2,0,3,6,0,0,0,0,0,0,May,1,Downstream Wolf,4,0.654545455,252.3579698,0,378.5369547,757.0739093,0,0,0,0,0,0,0.595851753,1388.623379,0.595851753,1
28,7,13.75,11,1.571428571,0,4214.88,0.00421488,1,8,2,0,0,0,0,0,0,0,May,1,Downstream Wolf,4,0.472727273,126.1789849,1009.431879,252.3579698,0,0,0,0,0,0,0,0.430450087,1388.441561,0.430450087,1
29,17,15.65,18,1.058823529,0,6856.99,0.00685699,4,1,2,8,2,0,0,1,0,0,May,1,Downstream Wolf,4,0.764705882,504.7159396,126.1789849,252.3579698,1009.431879,252.3579698,0,0,126.1789849,0,0,0.722727135,2271.986434,0.722727135,1
30,2,21.6,5,2.5,0,1569.02,0.00156902,2,0,1,2,0,0,0,0,0,0,May,1,Downstream Wolf,4,0.8,252.3579698,0,126.1789849,252.3579698,0,0,0,0,0,0,0.641925446,631.6949245,0.641925446,1
31,3,20.2,3,1,0,3412.56,0.00341256,2,0,0,1,0,0,0,0,0,0,May,1,Downstream Wolf,4,0.666666667,252.3579698,0,0,126.1789849,0,0,0,0,0,0,0.447571797,379.2036213,0.447571797,1
32,101,15.72,8,0.079207921,0,20598.63,0.02059863,7,0,0,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.25,883.2528942,0,0,0,0,0,0,126.1789849,0,0,0.219353837,1009.681879,0.219353837,1
33,309,11.78928571,20,0.064724919,0,30698.6,0.0306986,11,4,4,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.647368421,1387.968834,504.7159396,504.7159396,0,0,0,0,126.1789849,0,0,0.615441163,2524.227066,0.615441163,1
34,104,11.61111111,9,0.086538462,0,17055.48,0.01705548,6,1,1,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.583333333,757.0739093,126.1789849,126.1789849,0,0,0,0,126.1789849,0,0,0.519469536,1136.194197,0.519469536,1
35,79,11.58571429,12,0.151898734,0,21033.37,0.02103337,3,4,4,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.772727273,378.5369547,504.7159396,504.7159396,0,0,0,0,126.1789849,0,0,0.709098542,1514.920546,0.709098542,1
36,84,13.725,5,0.05952381,0,12544.08,0.01254408,3,0,1,0,0,0,0,1,0,0,May,1,Downstream Stump,3,0.7,378.5369547,0,126.1789849,0,0,0,0,126.1789849,0,0,0.561862607,631.5949245,0.561862607,1
37,120,15.93571429,25,0.208333333,0,18235.465,0.018235465,11,0,11,1,0,0,0,2,0,0,May,1,Downstream Bemidji,2,0.63,1387.968834,0,1387.968834,126.1789849,0,0,0,252.3579698,0,0,0.605149545,3155.104622,0.605149545,1
38,132,10.04705882,14,0.106060606,0,10370.5835,0.010370584,4,0,8,0,1,0,0,1,0,0,May,1,Downstream Bemidji,2,0.626373626,504.7159396,0,1009.431879,0,126.1789849,0,0,126.1789849,0,0,0.58225848,1767.132162,0.58225848,1
39,56,13.28333333,5,0.089285714,0,13626.325,0.013626325,1,1,1,2,0,0,0,0,0,0,May,1,Downstream Bemidji,2,0.9,126.1789849,126.1789849,126.1789849,252.3579698,0,0,0,0,0,0,0.721937581,631.7949245,0.721937581,1
40,47,9.2,36,0.765957447,0,6189.125,0.006189125,5,14,11,0,4,0,0,2,0,0,May,1,Downstream Bemidji,2,0.741269841,630.8949245,1766.505788,1387.968834,0,504.7159396,0,0,252.3579698,0,0,0.720928801,4543.184726,0.720928801,1
41,205,11.765,27,0.131707317,0,20480.28,0.02048028,14,3,4,2,4,0,0,0,0,0,May,1,Downstream Bemidji,2,0.695156695,1766.505788,378.5369547,504.7159396,252.3579698,504.7159396,0,0,0,0,0,0.66974151,3407.527749,0.66974151,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
43,0,0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,126.1789849,126.1789849,0,0,0,0,0,0,0.505920477,253.3579698,1,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
45,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,126.1789849,0,0,0,0,0,0,0,0.015725869,127.1789849,1,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,1,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
47,21,9.566666667,2,0.095238095,0,3550.835,0.003550835,0,1,1,0,0,0,0,0,0,0,May,1,Downstream Andrusia,5,1,0,126.1789849,126.1789849,0,0,0,0,0,0,0,0.505920477,253.3579698,0.505920477,1
